cz,czname,state,lat,lon,c1980_85,am,rm,amfemale,rmfemale,ammale,rmmale,fracblack,racseg,incseg,segpov25,segafl75,fraccom15,hipc,gini,incsh1,ginibot99,frac2575,loctr,locgexp,schexp,tsr,tsperc,hsdrop,colpc,coltui,colgrad,lfpr,manshare,chimp,tlfpr,migirate,migorate,fracfor,scind,fracrel,crimer,fracsm,fracdiv,fracmar,incgrth
100,Johnson City,TN,36.45968366081218,-82.3835736492437,37362.0,38.3875,0.3717,39.97675,0.38227,36.83775,0.36175,0.0208408,0.0903837,0.0348657,0.0301532,0.0382395,0.3252578,31559.77,0.46804,13.459,0.33345,0.54796,0.0203924,1886.148,5.1845472,,2.728379,-0.0152656,0.0138869,4816.82,-0.0024312,0.5873474,0.2373972,5.293786,0.0037529,0.0056398319,0.0046972561,0.0117837,-0.2978583,0.5144033,0.0014095,0.1898032,0.1101729,0.6008929,-0.0022776
200,Morristown,TN,36.03787840059189,-83.38369995024755,15856.0,37.77675,0.35611,38.7855,0.37426,36.81325,0.33785,0.0197791,0.093153,0.0262809,0.0278582,0.0253348,0.2764278,29958.93,0.43459,10.631,0.32828,0.5375,0.0234471,2004.337,4.5058856,,-3.400274,-0.0235207,0.008779,4762.23,-0.1011827,0.6249742,0.2377556,3.030479,0.0047773,0.016206061,0.0142351722,0.0230553,-0.76735477,0.5438951,0.0018436,0.185106,0.1159584,0.6133591,-0.0021528
301,Middlesborough,TN,36.59090025951353,-83.63702722156813,4552.0,39.04925,0.37557,41.348,0.36896,36.79175,0.38091,0.0146459,0.0642501,0.0240811,0.0146831,0.0258143,0.3585358,22328.48,0.44095,10.691,0.33404,0.46685,0.0153799,1189.82,5.614119,15.084937,-9.315062,-0.0046291,0.0449721,11840.4,0.1112985,0.4789631,0.2335314,2.062596,0.0028932,0.008050009,0.0116028063,0.007078,-1.2702513,0.667806,0.0008545,0.2110027,0.1134514,0.5902804,-0.0037121
302,Knoxville,TN,35.973556319911175,-84.06693390307679,48641.0,37.84125,0.37253,39.60825,0.37445,36.1375,0.3705,0.0563648,0.2099943,0.0921036,0.0842674,0.1019656,0.2685696,35884.29,0.50832,15.08,0.35752,0.5041,0.0188704,2356.851,4.8998462,,-6.031831,-0.0110711,0.0109951,3480.44,-0.0238261,0.6148306,0.1455054,1.078308,0.0042875,0.0163029137,0.0135541506,0.0199675,-0.22188462,0.601953,0.0013441,0.2056023,0.1142778,0.57515,-0.0019974
401,Winston-Salem,NC,36.174620192259525,-80.35968960344275,33466.0,36.96925,0.38913,38.80675,0.39667,35.0955,0.38314,0.173531,0.262388,0.0718667,0.0610806,0.0806255,0.2918141,38891.75,0.46553,11.917,0.34636,0.49991,0.0179048,1891.45,5.4626763,15.385281,-2.297035,0.0229661,0.0141936,9715.33,0.0515534,0.656087,0.2151985,1.016085,0.0037629,0.022101464,0.0186199765,0.0529482,-0.01779596,0.4879375,0.0026579,0.2204709,0.0923505,0.5858972,-0.0140494
402,Martinsville,VA,36.68911018928647,-79.96754706267596,6742.0,37.29525,0.42257,38.6325,0.42362,35.99575,0.42083,0.2238095,0.1365256,0.0237311,0.0153754,0.0282695,0.3130243,31264.81,0.44448,10.68,0.33768,0.53839,0.0151883,1557.879,5.7398601,,4.227381,,0.0107813,1113.0,-0.1155025,0.599393,0.3945067,3.276671,0.0032874,0.0068137958,0.0100697552,0.0249921,-0.90281513,0.4544327,0.0018975,0.2408851,0.09564,0.5795217,-0.0113832
500,Greensboro,NC,36.10783205791287,-79.76817061679333,69646.0,36.47725,0.39521,38.3885,0.39826,34.5605,0.39246,0.2175593,0.220065,0.0676532,0.0575889,0.076798,0.3049326,36581.84,0.52358,18.228,0.3413,0.51009,0.0172547,1932.456,5.0077963,16.678007,-3.715993,0.0155281,0.0142162,4528.49,-0.0174335,0.6659446,0.2613469,2.0505,0.0035349,0.0165078715,0.0153705741,0.0502233,-0.51318038,0.433969,0.0034609,0.2366055,0.0955472,0.5601948,-0.0135504
601,North Wilkesboro,NC,36.25681358360089,-81.24887959295116,5927.0,38.3445,0.38886,40.7165,0.39134,36.14325,0.38497,0.0319277,0.1140964,0.0118961,0.008602,0.0124235,0.2893356,31544.06,0.44603,12.645,0.31958,0.56018,0.0135954,1661.026,5.2960907,16.17797,6.698189,0.0210332,0.0111091,880.0,-0.123175,0.617435,0.2753794,2.572853,0.0033694,0.0119756488,0.0118867757,0.0274269,-0.19309309,0.5613891,0.0026572,0.1652012,0.0873082,0.6322625,-0.0108258
602,Galax,VA,36.657383236995194,-80.93146967300277,3790.0,40.813,0.41348,42.6245,0.38642,39.059,0.4394,0.0289597,0.1311975,0.0054097,0.0041657,0.0056613,0.325102,30683.01,0.35621,8.705999,0.26915,0.60842,0.0140347,1208.094,5.3766793,12.326298,4.899554,,,,,0.5936862,0.3210837,4.302583,0.0039142,0.0055352836,0.0057981322,0.0228524,-0.80119036,0.430175,0.0013297,0.1668024,0.0894558,0.6222348,-0.0096735
700,Spartanburg,SC,34.96890570475766,-81.92340220225971,24797.0,36.406,0.4044,37.71875,0.42027,35.11975,0.38415,0.2074983,0.1394965,0.0451206,0.0441604,0.0451741,0.2989705,33416.75,0.4713,13.061,0.34069,0.5285,0.0181788,2498.805,5.4214951,15.939934,-1.008695,,0.0197443,7264.36,0.0066847,0.6295308,0.294631,0.9458863,0.0039405,0.0170280341,0.0155584953,0.0290639,-1.0008878,0.5960855,0.0032783,0.246103,0.0986878,0.5613106,-0.0138567
800,Gastonia,NC,35.33009937707741,-81.37411195827204,29902.0,35.43425,0.41629,36.77525,0.41985,34.11775,0.41167,0.1377782,0.1336746,0.0380789,0.0344144,0.0414662,0.2883977,33582.14,0.41506,10.08,0.31426,0.54393,0.0149102,1996.33,5.2506508,16.369631,2.411811,0.0295279,0.0145162,10244.0,-0.1022317,0.6476718,0.3110813,1.466388,0.0032236,0.0169452569,0.0153315382,0.0286182,-0.65939772,0.6012372,0.0040742,0.2139188,0.0941167,0.5961478,-0.0138515
